tmpID	Field ID	Description	abbreviation	machine_readable_name	name	description	alternative_names	group	subgroup
omega-3 fatty acids to total fatty acids	23451	Omega-3 Fatty Acids to Total Fatty Acids percentage	Omega-3 %	Omega_3_pct	Omega-3 %	Ratio of omega-3 fatty acids to total fatty acids		Fatty acids	Fatty acid ratios
omega-6 fatty acids	23445	Omega-6 Fatty Acids	Omega-6	Omega_6	Omega-6	Omega-6 fatty acids		Fatty acids	Fatty acids
omega-6 fatty acids to omega-3 fatty acids	23459	Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio	Omega-6/Omega-3	Omega_6_by_Omega_3	Omega-6/Omega-3	Ratio of omega-6 fatty acids to omega-3 fatty acids		Fatty acids	Fatty acid ratios
omega-6 fatty acids to total fatty acids	23452	Omega-6 Fatty Acids to Total Fatty Acids percentage	Omega-6 %	Omega_6_pct	Omega-6 %	Ratio of omega-6 fatty acids to total fatty acids		Fatty acids	Fatty acid ratios
phenylalanine	23468	Phenylalanine	Phe	Phe	Phenylalanine	Phenylalanine		Amino acids	Aromatic amino acids
phosphatidylcholines	23437	Phosphatidylcholines	Phosphatidylc	Phosphatidylc	Phosphatidylcholines	Phosphatidylcholines		Other lipids	Other lipids
phosphoglycerides	23434	Phosphoglycerides	Phosphoglyc	Phosphoglyc	Phosphoglycerides	Phosphoglycerides		Other lipids	Other lipids
phospholipids in chylomicrons and extremely large vldl	23483	Phospholipids in Chylomicrons and Extremely Large VLDL	XXL-VLDL-PL	XXL_VLDL_PL	XXL-VLDL-PL	Phospholipids in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
phospholipids in hdl	23414	Phospholipids in HDL	HDL-PL	HDL_PL	HDL-PL	Phospholipids in HDL		Phospholipids	Phospholipids
phospholipids in idl	23525	Phospholipids in IDL	IDL-PL	IDL_PL	IDL-PL	Phospholipids in IDL		Lipoprotein subclasses	IDL
phospholipids in large hdl	23560	Phospholipids in Large HDL	L-HDL-PL	L_HDL_PL	L-HDL-PL	Phospholipids in large HDL		Lipoprotein subclasses	Large HDL
phospholipids in large ldl	23532	Phospholipids in Large LDL	L-LDL-PL	L_LDL_PL	L-LDL-PL	Phospholipids in large LDL		Lipoprotein subclasses	Large LDL
phospholipids in large vldl	23497	Phospholipids in Large VLDL	L-VLDL-PL	L_VLDL_PL	L-VLDL-PL	Phospholipids in large VLDL		Lipoprotein subclasses	Large VLDL
phospholipids in ldl	23413	Phospholipids in LDL	LDL-PL	LDL_PL	LDL-PL	Phospholipids in LDL		Phospholipids	Phospholipids
phospholipids in medium hdl	23567	Phospholipids in Medium HDL	M-HDL-PL	M_HDL_PL	M-HDL-PL	Phospholipids in medium HDL		Lipoprotein subclasses	Medium HDL
phospholipids in medium ldl	23539	Phospholipids in Medium LDL	M-LDL-PL	M_LDL_PL	M-LDL-PL	Phospholipids in medium LDL		Lipoprotein subclasses	Medium LDL
phospholipids in medium vldl	23504	Phospholipids in Medium VLDL	M-VLDL-PL	M_VLDL_PL	M-VLDL-PL	Phospholipids in medium VLDL		Lipoprotein subclasses	Medium VLDL
phospholipids in small hdl	23574	Phospholipids in Small HDL	S-HDL-PL	S_HDL_PL	S-HDL-PL	Phospholipids in small HDL		Lipoprotein subclasses	Small HDL
phospholipids in small ldl	23546	Phospholipids in Small LDL	S-LDL-PL	S_LDL_PL	S-LDL-PL	Phospholipids in small LDL		Lipoprotein subclasses	Small LDL
phospholipids in small vldl	23511	Phospholipids in Small VLDL	S-VLDL-PL	S_VLDL_PL	S-VLDL-PL	Phospholipids in small VLDL		Lipoprotein subclasses	Small VLDL
phospholipids in very large hdl	23553	Phospholipids in Very Large HDL	XL-HDL-PL	XL_HDL_PL	XL-HDL-PL	Phospholipids in very large HDL		Lipoprotein subclasses	Very large HDL
phospholipids in very large vldl	23490	Phospholipids in Very Large VLDL	XL-VLDL-PL	XL_VLDL_PL	XL-VLDL-PL	Phospholipids in very large VLDL		Lipoprotein subclasses	Very large VLDL
phospholipids in very small vldl	23518	Phospholipids in Very Small VLDL	XS-VLDL-PL	XS_VLDL_PL	XS-VLDL-PL	Phospholipids in very small VLDL		Lipoprotein subclasses	Very small VLDL
phospholipids in vldl	23412	Phospholipids in VLDL	VLDL-PL	VLDL_PL	VLDL-PL	Phospholipids in VLDL		Phospholipids	Phospholipids
phospholipids to total lipids in chylomicrons and extremely large vldl	23579	Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	XXL-VLDL-PL %	XXL_VLDL_PL_pct	XXL-VLDL-PL %	Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL		Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios
phospholipids to total lipids in idl	23609	Phospholipids to Total Lipids in IDL percentage	IDL-PL %	IDL_PL_pct	IDL-PL %	Phospholipids to total lipids ratio in IDL		Relative lipoprotein lipid concentrations	IDL ratios
phospholipids to total lipids in large hdl	23634	Phospholipids to Total Lipids in Large HDL percentage	L-HDL-PL %	L_HDL_PL_pct	L-HDL-PL %	Phospholipids to total lipids ratio in large HDL		Relative lipoprotein lipid concentrations	Large HDL ratios
phospholipids to total lipids in large ldl	23614	Phospholipids to Total Lipids in Large LDL percentage	L-LDL-PL %	L_LDL_PL_pct	L-LDL-PL %	Phospholipids to total lipids ratio in large LDL		Relative lipoprotein lipid concentrations	Large LDL ratios
phospholipids to total lipids in large vldl	23589	Phospholipids to Total Lipids in Large VLDL percentage	L-VLDL-PL %	L_VLDL_PL_pct	L-VLDL-PL %	Phospholipids to total lipids ratio in large VLDL		Relative lipoprotein lipid concentrations	Large VLDL ratios
phospholipids to total lipids in medium hdl	23639	Phospholipids to Total Lipids in Medium HDL percentage	M-HDL-PL %	M_HDL_PL_pct	M-HDL-PL %	Phospholipids to total lipids ratio in medium HDL		Relative lipoprotein lipid concentrations	Medium HDL ratios
phospholipids to total lipids in medium ldl	23619	Phospholipids to Total Lipids in Medium LDL percentage	M-LDL-PL %	M_LDL_PL_pct	M-LDL-PL %	Phospholipids to total lipids ratio in medium LDL		Relative lipoprotein lipid concentrations	Medium LDL ratios
phospholipids to total lipids in medium vldl	23594	Phospholipids to Total Lipids in Medium VLDL percentage	M-VLDL-PL %	M_VLDL_PL_pct	M-VLDL-PL %	Phospholipids to total lipids ratio in medium VLDL		Relative lipoprotein lipid concentrations	Medium VLDL ratios
phospholipids to total lipids in small hdl	23644	Phospholipids to Total Lipids in Small HDL percentage	S-HDL-PL %	S_HDL_PL_pct	S-HDL-PL %	Phospholipids to total lipids ratio in small HDL		Relative lipoprotein lipid concentrations	Small HDL ratios
phospholipids to total lipids in small ldl	23624	Phospholipids to Total Lipids in Small LDL percentage	S-LDL-PL %	S_LDL_PL_pct	S-LDL-PL %	Phospholipids to total lipids ratio in small LDL		Relative lipoprotein lipid concentrations	Small LDL ratios
phospholipids to total lipids in small vldl	23599	Phospholipids to Total Lipids in Small VLDL percentage	S-VLDL-PL %	S_VLDL_PL_pct	S-VLDL-PL %	Phospholipids to total lipids ratio in small VLDL		Relative lipoprotein lipid concentrations	Small VLDL ratios
phospholipids to total lipids in very large hdl	23629	Phospholipids to Total Lipids in Very Large HDL percentage	XL-HDL-PL %	XL_HDL_PL_pct	XL-HDL-PL %	Phospholipids to total lipids ratio in very large HDL		Relative lipoprotein lipid concentrations	Very large HDL ratios
phospholipids to total lipids in very large vldl	23584	Phospholipids to Total Lipids in Very Large VLDL percentage	XL-VLDL-PL %	XL_VLDL_PL_pct	XL-VLDL-PL %	Phospholipids to total lipids ratio in very large VLDL		Relative lipoprotein lipid concentrations	Very large VLDL ratios
phospholipids to total lipids in very small vldl	23604	Phospholipids to Total Lipids in Very Small VLDL percentage	XS-VLDL-PL %	XS_VLDL_PL_pct	XS-VLDL-PL %	Phospholipids to total lipids ratio in very small VLDL		Relative lipoprotein lipid concentrations	Very small VLDL ratios
polyunsaturated fatty acids	23446	Polyunsaturated Fatty Acids	PUFA	PUFA	PUFA	Polyunsaturated fatty acids		Fatty acids	Fatty acids
polyunsaturated fatty acids to monounsaturated fatty acids	23458	Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio	PUFA/MUFA	PUFA_by_MUFA	PUFA/MUFA	Ratio of polyunsaturated fatty acids to monounsaturated fatty acids		Fatty acids	Fatty acid ratios
polyunsaturated fatty acids to total fatty acids	23453	Polyunsaturated Fatty Acids to Total Fatty Acids percentage	PUFA %	PUFA_pct	PUFA %	Ratio of polyunsaturated fatty acids to total fatty acids		Fatty acids	Fatty acid ratios
pyruvate	23472	Pyruvate	Pyruvate	Pyruvate	Pyruvate	Pyruvate		Glycolysis related metabolites	Glycolysis related metabolites
remnant cholesterol (non-hdl, non-ldl -cholesterol)	23402	Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)	Remnant-C	Remnant_C	Remnant-C	Remnant cholesterol (non-HDL, non-LDL -cholesterol)		Cholesterol	Cholesterol
saturated fatty acids	23448	Saturated Fatty Acids	SFA	SFA	SFA	Saturated fatty acids		Fatty acids	Fatty acids
saturated fatty acids to total fatty acids	23455	Saturated Fatty Acids to Total Fatty Acids percentage	SFA %	SFA_pct	SFA %	Ratio of saturated fatty acids to total fatty acids		Fatty acids	Fatty acid ratios
sphingomyelins	23438	Sphingomyelins	Sphingomyelins	Sphingomyelins	Sphingomyelins	Sphingomyelins		Other lipids	Other lipids
total cholesterol	23400	Total Cholesterol	Total-C	Total_C	Total-C	Total cholesterol		Cholesterol	Cholesterol
total cholesterol minus hdl-c	23401	Total Cholesterol Minus HDL-C	non-HDL-C	non_HDL_C	non-HDL-C	Total cholesterol minus HDL-C		Cholesterol	Cholesterol
total cholines	23436	Total Cholines	Cholines	Cholines	Total cholines	Total cholines		Other lipids	Other lipids
total concentration of branched-chain amino acids (leucine + isoleucine + valine)	23464	Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)	Total BCAA	Total_BCAA	Total BCAA	Total concentration of branched-chain amino acids (leucine + isoleucine + valine)		Amino acids	Branched-chain amino acids
total concentration of lipoprotein particles	23427	Total Concentration of Lipoprotein Particles	Total-P	Total_P	Total-P	Total concentration of lipoprotein particles		Lipoprotein particle concentrations	Lipoprotein particle concentrations
total esterified cholesterol	23415	Total Esterified Cholesterol	Total-CE	Total_CE	Total-CE	Total esterified cholesterol		Cholesteryl esters	Cholesteryl esters
total fatty acids	23442	Total Fatty Acids	Total-FA	Total_FA	Total fatty acids	Total fatty acids		Fatty acids	Fatty acids
total free cholesterol	23419	Total Free Cholesterol	Total-FC	Total_FC	Total-FC	Total free cholesterol		Free cholesterol	Free cholesterol
total lipids in chylomicrons and extremely large vldl	23482	Total Lipids in Chylomicrons and Extremely Large VLDL	XXL-VLDL-L	XXL_VLDL_L	XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
total lipids in hdl	23426	Total Lipids in HDL	HDL-L	HDL_L	HDL-L	Total lipids in HDL		Total lipids	Total lipids
total lipids in idl	23524	Total Lipids in IDL	IDL-L	IDL_L	IDL-L	Total lipids in IDL		Lipoprotein subclasses	IDL
total lipids in large hdl	23559	Total Lipids in Large HDL	L-HDL-L	L_HDL_L	L-HDL-L	Total lipids in large HDL		Lipoprotein subclasses	Large HDL
total lipids in large ldl	23531	Total Lipids in Large LDL	L-LDL-L	L_LDL_L	L-LDL-L	Total lipids in large LDL		Lipoprotein subclasses	Large LDL
total lipids in large vldl	23496	Total Lipids in Large VLDL	L-VLDL-L	L_VLDL_L	L-VLDL-L	Total lipids in large VLDL		Lipoprotein subclasses	Large VLDL
total lipids in ldl	23425	Total Lipids in LDL	LDL-L	LDL_L	LDL-L	Total lipids in LDL		Total lipids	Total lipids
total lipids in lipoprotein particles	23423	Total Lipids in Lipoprotein Particles	Total-L	Total_L	Total-L	Total lipids in lipoprotein particles		Total lipids	Total lipids
total lipids in medium hdl	23566	Total Lipids in Medium HDL	M-HDL-L	M_HDL_L	M-HDL-L	Total lipids in medium HDL		Lipoprotein subclasses	Medium HDL
total lipids in medium ldl	23538	Total Lipids in Medium LDL	M-LDL-L	M_LDL_L	M-LDL-L	Total lipids in medium LDL		Lipoprotein subclasses	Medium LDL
total lipids in medium vldl	23503	Total Lipids in Medium VLDL	M-VLDL-L	M_VLDL_L	M-VLDL-L	Total lipids in medium VLDL		Lipoprotein subclasses	Medium VLDL
total lipids in small hdl	23573	Total Lipids in Small HDL	S-HDL-L	S_HDL_L	S-HDL-L	Total lipids in small HDL		Lipoprotein subclasses	Small HDL
total lipids in small ldl	23545	Total Lipids in Small LDL	S-LDL-L	S_LDL_L	S-LDL-L	Total lipids in small LDL		Lipoprotein subclasses	Small LDL
total lipids in small vldl	23510	Total Lipids in Small VLDL	S-VLDL-L	S_VLDL_L	S-VLDL-L	Total lipids in small VLDL		Lipoprotein subclasses	Small VLDL
total lipids in very large hdl	23552	Total Lipids in Very Large HDL	XL-HDL-L	XL_HDL_L	XL-HDL-L	Total lipids in very large HDL		Lipoprotein subclasses	Very large HDL
total lipids in very large vldl	23489	Total Lipids in Very Large VLDL	XL-VLDL-L	XL_VLDL_L	XL-VLDL-L	Total lipids in very large VLDL		Lipoprotein subclasses	Very large VLDL
total lipids in very small vldl	23517	Total Lipids in Very Small VLDL	XS-VLDL-L	XS_VLDL_L	XS-VLDL-L	Total lipids in very small VLDL		Lipoprotein subclasses	Very small VLDL
total lipids in vldl	23424	Total Lipids in VLDL	VLDL-L	VLDL_L	VLDL-L	Total lipids in VLDL		Total lipids	Total lipids
total phospholipids in lipoprotein particles	23411	Total Phospholipids in Lipoprotein Particles	Total-PL	Total_PL	Total-PL	Total phospholipids in lipoprotein particles		Phospholipids	Phospholipids
total triglycerides	23407	Total Triglycerides	Total-TG	Total_TG	Total triglycerides	Total triglycerides		Triglycerides	Triglycerides
triglycerides in chylomicrons and extremely large vldl	23487	Triglycerides in Chylomicrons and Extremely Large VLDL	XXL-VLDL-TG	XXL_VLDL_TG	XXL-VLDL-TG	Triglycerides in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
triglycerides in hdl	23410	Triglycerides in HDL	HDL-TG	HDL_TG	HDL-TG	Triglycerides in HDL		Triglycerides	Triglycerides
triglycerides in idl	23529	Triglycerides in IDL	IDL-TG	IDL_TG	IDL-TG	Triglycerides in IDL		Lipoprotein subclasses	IDL
triglycerides in large hdl	23564	Triglycerides in Large HDL	L-HDL-TG	L_HDL_TG	L-HDL-TG	Triglycerides in large HDL		Lipoprotein subclasses	Large HDL
triglycerides in large ldl	23536	Triglycerides in Large LDL	L-LDL-TG	L_LDL_TG	L-LDL-TG	Triglycerides in large LDL		Lipoprotein subclasses	Large LDL
triglycerides in large vldl	23501	Triglycerides in Large VLDL	L-VLDL-TG	L_VLDL_TG	L-VLDL-TG	Triglycerides in large VLDL		Lipoprotein subclasses	Large VLDL
triglycerides in ldl	23409	Triglycerides in LDL	LDL-TG	LDL_TG	LDL-TG	Triglycerides in LDL		Triglycerides	Triglycerides
triglycerides in medium hdl	23571	Triglycerides in Medium HDL	M-HDL-TG	M_HDL_TG	M-HDL-TG	Triglycerides in medium HDL		Lipoprotein subclasses	Medium HDL
triglycerides in medium ldl	23543	Triglycerides in Medium LDL	M-LDL-TG	M_LDL_TG	M-LDL-TG	Triglycerides in medium LDL		Lipoprotein subclasses	Medium LDL
triglycerides in medium vldl	23508	Triglycerides in Medium VLDL	M-VLDL-TG	M_VLDL_TG	M-VLDL-TG	Triglycerides in medium VLDL		Lipoprotein subclasses	Medium VLDL
triglycerides in small hdl	23578	Triglycerides in Small HDL	S-HDL-TG	S_HDL_TG	S-HDL-TG	Triglycerides in small HDL		Lipoprotein subclasses	Small HDL
triglycerides in small ldl	23550	Triglycerides in Small LDL	S-LDL-TG	S_LDL_TG	S-LDL-TG	Triglycerides in small LDL		Lipoprotein subclasses	Small LDL
triglycerides in small vldl	23515	Triglycerides in Small VLDL	S-VLDL-TG	S_VLDL_TG	S-VLDL-TG	Triglycerides in small VLDL		Lipoprotein subclasses	Small VLDL
triglycerides in very large hdl	23557	Triglycerides in Very Large HDL	XL-HDL-TG	XL_HDL_TG	XL-HDL-TG	Triglycerides in very large HDL		Lipoprotein subclasses	Very large HDL
triglycerides in very large vldl	23494	Triglycerides in Very Large VLDL	XL-VLDL-TG	XL_VLDL_TG	XL-VLDL-TG	Triglycerides in very large VLDL		Lipoprotein subclasses	Very large VLDL
triglycerides in very small vldl	23522	Triglycerides in Very Small VLDL	XS-VLDL-TG	XS_VLDL_TG	XS-VLDL-TG	Triglycerides in very small VLDL		Lipoprotein subclasses	Very small VLDL
triglycerides in vldl	23408	Triglycerides in VLDL	VLDL-TG	VLDL_TG	VLDL-TG	Triglycerides in VLDL		Triglycerides	Triglycerides
triglycerides to phosphoglycerides	23435	Triglycerides to Phosphoglycerides ratio	TG/PG	TG_by_PG	TG/PG	Ratio of triglycerides to phosphoglycerides		Other lipids	Other lipids
triglycerides to total lipids in chylomicrons and extremely large vldl	23583	Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	XXL-VLDL-TG %	XXL_VLDL_TG_pct	XXL-VLDL-TG %	Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL		Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios
triglycerides to total lipids in idl	23613	Triglycerides to Total Lipids in IDL percentage	IDL-TG %	IDL_TG_pct	IDL-TG %	Triglycerides to total lipids ratio in IDL		Relative lipoprotein lipid concentrations	IDL ratios
triglycerides to total lipids in large hdl	23638	Triglycerides to Total Lipids in Large HDL percentage	L-HDL-TG %	L_HDL_TG_pct	L-HDL-TG %	Triglycerides to total lipids ratio in large HDL		Relative lipoprotein lipid concentrations	Large HDL ratios
triglycerides to total lipids in large ldl	23618	Triglycerides to Total Lipids in Large LDL percentage	L-LDL-TG %	L_LDL_TG_pct	L-LDL-TG %	Triglycerides to total lipids ratio in large LDL		Relative lipoprotein lipid concentrations	Large LDL ratios
triglycerides to total lipids in large vldl	23593	Triglycerides to Total Lipids in Large VLDL percentage	L-VLDL-TG %	L_VLDL_TG_pct	L-VLDL-TG %	Triglycerides to total lipids ratio in large VLDL		Relative lipoprotein lipid concentrations	Large VLDL ratios
triglycerides to total lipids in medium hdl	23643	Triglycerides to Total Lipids in Medium HDL percentage	M-HDL-TG %	M_HDL_TG_pct	M-HDL-TG %	Triglycerides to total lipids ratio in medium HDL		Relative lipoprotein lipid concentrations	Medium HDL ratios
triglycerides to total lipids in medium ldl	23623	Triglycerides to Total Lipids in Medium LDL percentage	M-LDL-TG %	M_LDL_TG_pct	M-LDL-TG %	Triglycerides to total lipids ratio in medium LDL		Relative lipoprotein lipid concentrations	Medium LDL ratios
triglycerides to total lipids in medium vldl	23598	Triglycerides to Total Lipids in Medium VLDL percentage	M-VLDL-TG %	M_VLDL_TG_pct	M-VLDL-TG %	Triglycerides to total lipids ratio in medium VLDL		Relative lipoprotein lipid concentrations	Medium VLDL ratios
triglycerides to total lipids in small hdl	23648	Triglycerides to Total Lipids in Small HDL percentage	S-HDL-TG %	S_HDL_TG_pct	S-HDL-TG %	Triglycerides to total lipids ratio in small HDL		Relative lipoprotein lipid concentrations	Small HDL ratios
triglycerides to total lipids in small ldl	23628	Triglycerides to Total Lipids in Small LDL percentage	S-LDL-TG %	S_LDL_TG_pct	S-LDL-TG %	Triglycerides to total lipids ratio in small LDL		Relative lipoprotein lipid concentrations	Small LDL ratios
triglycerides to total lipids in small vldl	23603	Triglycerides to Total Lipids in Small VLDL percentage	S-VLDL-TG %	S_VLDL_TG_pct	S-VLDL-TG %	Triglycerides to total lipids ratio in small VLDL		Relative lipoprotein lipid concentrations	Small VLDL ratios
triglycerides to total lipids in very large hdl	23633	Triglycerides to Total Lipids in Very Large HDL percentage	XL-HDL-TG %	XL_HDL_TG_pct	XL-HDL-TG %	Triglycerides to total lipids ratio in very large HDL		Relative lipoprotein lipid concentrations	Very large HDL ratios
triglycerides to total lipids in very large vldl	23588	Triglycerides to Total Lipids in Very Large VLDL percentage	XL-VLDL-TG %	XL_VLDL_TG_pct	XL-VLDL-TG %	Triglycerides to total lipids ratio in very large VLDL		Relative lipoprotein lipid concentrations	Very large VLDL ratios
triglycerides to total lipids in very small vldl	23608	Triglycerides to Total Lipids in Very Small VLDL percentage	XS-VLDL-TG %	XS_VLDL_TG_pct	XS-VLDL-TG %	Triglycerides to total lipids ratio in very small VLDL		Relative lipoprotein lipid concentrations	Very small VLDL ratios
tyrosine	23469	Tyrosine	Tyr	Tyr	Tyrosine	Tyrosine		Amino acids	Aromatic amino acids
valine	23467	Valine	Val	Val	Valine	Valine		Amino acids	Branched-chain amino acids
vldl cholesterol	23403	VLDL Cholesterol	VLDL-C	VLDL_C	VLDL-C	VLDL cholesterol		Cholesterol	Cholesterol
